Бренд,Запрос,Спрос (в месяц),Топ-ассоциация,Ошибка
Barambo,логотип Barambo,0,,
Аквалайф,логотип Аквалайф,0,,
Тархун,логотип Тархун,0,,
Липецкий Хладокомбинат,логотип Липецкий Хладокомбинат,0,,
Бабкины Секреты,логотип Бабкины Секреты,0,,
Аладушкин,логотип Аладушкин,0,,
Increment,логотип Increment,0,,
Union Group,логотип Union Group,0,,
Мон Дэлис,логотип Мон Дэлис,0,,
Славянка Кондитер,логотип Славянка Кондитер,0,,
Слобожанка,логотип Слобожанка,0,,
Юнилевер Русь,логотип Юнилевер Русь,0,,
585 Ювелир,логотип 585 Ювелир,0,,
Grattol,логотип Grattol,0,,
Botavikos,логотип Botavikos,0,,
Твинс Тэк,логотип Твинс Тэк,0,,
Планета Органика,логотип Планета Органика,0,,
Летуаль Бьюти,логотип Летуаль Бьюти,0,,
Здоровая Ферма,логотип Здоровая Ферма,0,,
Малавит,логотип Малавит,0,,
Ортомол,логотип Ортомол,0,,
Радеж,логотип Радеж,0,,
Тинькофф Страхование,логотип Тинькофф Страхование,0,,
PickPoint,логотип PickPoint,0,,
ЮKassa,логотип ЮKassa,0,,
Российский Капитал,логотип Российский Капитал,0,,
Форбанк,логотип Форбанк,0,,
Атлант Шины,логотип Атлант Шины,0,,
Republic книжный,логотип Republic книжный,0,,
Чайхона №1,логотип Чайхона №1,0,,
Такснет,логотип Такснет,0,,
Escape Fitness,логотип Escape Fitness,0,,
Кнауф Россия,логотип Кнауф Россия,0,,
Яшма Золото,логотип Яшма Золото,0,,
Кампомос,логотип Кампомос,0,,
Ниаг Мед,логотип Ниаг Мед,0,,
Money Man,логотип Money Man,0,,
1xStavka,логотип 1xStavka,0,,
Zoo Клуб,логотип Zoo Клуб,0,,
ОБИ Россия,логотип ОБИ Россия,0,,
Castorama Россия,логотип Castorama Россия,0,,
Ателика,логотип Ателика,0,,
Ru Такси,логотип Ru Такси,0,,
Zasport,логотип Zasport,0,,
Nova Tour,логотип Nova Tour,0,,
Погар,логотип Погар,0,,
Балканская Звезда,логотип Балканская Звезда,0,,
А.Коркунов,логотип А.Коркунов,0,,
АМО CRM,логотип АМО CRM,0,,
Рузское Молоко,логотип Рузское Молоко,0,,
Мирра Люкс,логотип Мирра Люкс,0,,
Сибирское Здоровье Люкс,логотип Сибирское Здоровье Люкс,0,,
Аромалюкс,логотип Аромалюкс,0,,
Костромской Ювелирпром,логотип Костромской Ювелирпром,0,,
Алмаз-Холдинг,логотип Алмаз-Холдинг,0,,
Азбука-Аттикус,логотип Азбука-Аттикус,0,,
Комсомольская Правда Издательство,логотип Комсомольская Правда Издательство,0,,
VK Play Cloud,логотип VK Play Cloud,0,,
Cybersport.ru,логотип Cybersport.ru,0,,
Major авто,логотип Major авто,0,,
Moyo,логотип Moyo,0,,
OneTwo,логотип OneTwo,0,,
Синявинская Птицефабрика,логотип Синявинская Птицефабрика,0,,
Черкизово Птица,логотип Черкизово Птица,0,,
Русагро Сахар,логотип Русагро Сахар,0,,
Тиккурила Россия,логотип Тиккурила Россия,0,,
Contact Перевод,логотип Contact Перевод,0,,
Rubetek,логотип Rubetek,0,,
Sorti,логотип Sorti,0,,
БиоМио,логотип БиоМио,0,,
Igoo,логотип Igoo,0,,
Kroha,логотип Kroha,0,,
Rentmee,логотип Rentmee,0,,
Ярослав Мудрый прокат,логотип Ярослав Мудрый прокат,0,,
Ключ коворкинг,логотип Ключ коворкинг,0,,
Рокет Ворк,логотип Рокет Ворк,0,,
Плати Позже,логотип Плати Позже,0,,
Русская Рыбная Компания,логотип Русская Рыбная Компания,0,,
Меридиан рыба,логотип Меридиан рыба,0,,
Черёмушки хлеб,логотип Черёмушки хлеб,0,,
Каравай СПб,логотип Каравай СПб,0,,
Concept Professional,логотип Concept Professional,0,,
Ростех Медицина,логотип Ростех Медицина,0,,
SberCloud,логотип SberCloud,0,,
Hostland,логотип Hostland,0,,
Мегаплан CRM,логотип Мегаплан CRM,0,,
Adriver,логотип Adriver,0,,
Ringostat,логотип Ringostat,0,,
Synerdocs,логотип Synerdocs,0,,
Ярче Красноярск,логотип Ярче Красноярск,0,,
Полушка Урал,логотип Полушка Урал,0,,
Донкомбанк,логотип Донкомбанк,0,,
Хакасский Муниципальный Банк,логотип Хакасский Муниципальный Банк,0,,
Либерти Страхование,логотип Либерти Страхование,0,,
Сберинс,логотип Сберинс,0,,
Национальная Страховая Группа,логотип Национальная Страховая Группа,0,,
Kapous Professional,логотип Kapous Professional,0,,
Barex Италика,логотип Barex Италика,0,,
Мелон Фэшн Груп,логотип Мелон Фэшн Груп,0,,
O'stin детский,логотип O'stin детский,0,,
Пятёрочка Обувь,логотип Пятёрочка Обувь,0,,
Kari Kids,логотип Kari Kids,0,,
Ikea аналог Hoff,логотип Ikea аналог Hoff,0,,
Сибирский Гипс,логотип Сибирский Гипс,0,,
Ясная Поляна масло,логотип Ясная Поляна масло,0,,
Слобода масло,логотип Слобода масло,0,,
Konfael,логотип Konfael,0,,
Победа Плюс шоколад,логотип Победа Плюс шоколад,0,,
Bonaqua Россия,логотип Bonaqua Россия,0,,
РуТакси Регион,логотип РуТакси Регион,0,,
Национальная Медиа Группа,логотип Национальная Медиа Группа,0,,
Мой Мир Игры,логотип Мой Мир Игры,0,,
Nikita Mobile,логотип Nikita Mobile,0,,
Danycom,логотип Danycom,0,,
Акушерство.ру,логотип Акушерство.ру,0,,
Alex Fitness,логотип Alex Fitness,0,,
Concept Club,логотип Concept Club,0,,
Melon Fashion Group,логотип Melon Fashion Group,0,,
BelkaCar,логотип BelkaCar,0,,
Anytime,логотип Anytime,0,,
Гослото,логотип Гослото,0,,
Радио Energy,логотип Радио Energy,0,,
Атяшевский Молочный Комбинат,логотип Атяшевский Молочный Комбинат,0,,
Клиника К+31,логотип Клиника К+31,0,,
Group-IB,логотип Group-IB,0,,
Anta Россия,логотип Anta Россия,0,,
Доктор рядом клиника,логотип Доктор рядом клиника,0,,
Ниармедик клиника,логотип Ниармедик клиника,0,,
Атлас медцентр,логотип Атлас медцентр,0,,
Ситимобил такси,логотип Ситимобил такси,0,,
Level Kitchen,логотип Level Kitchen,0,,
Много Суши,логотип Много Суши,0,,
Republic коворкинг,логотип Republic коворкинг,0,,
Ключевой коворкинг,логотип Ключевой коворкинг,0,,
Октобанк,логотип Октобанк,0,,
Хайс Банк,логотип Хайс Банк,0,,
Столплит Кухни,логотип Столплит Кухни,0,,
Норд Стрим,логотип Норд Стрим,0,,
Ситимобил доставка,логотип Ситимобил доставка,0,,
Broniboy Express,логотип Broniboy Express,0,,
Много.ру,логотип Много.ру,0,,
Едадил купоны,логотип Едадил купоны,0,,
Sk Skolkovo,логотип Sk Skolkovo,0,,
Ярче!,логотип Ярче!,,,"400: {
 ""code"": 3,
 ""message"": ""Invalid query"",
 ""details"": [
  {
   ""@type"": ""type.googleapis.com/google.rpc.RequestInfo"",
   ""requestId"": ""d5f90e5d-0cdb-4700-9e8f-"
